Link,Link-href,Description,Date Created,Author,TextField
MAX Week is Here,https://everconnect.foundever.com/everconnect/Article/Article/74955,Consultez le programme de la 1ère semaine Max!,"Wednesday, August 3, 2022",Kim H,"This year, Customer Service Week has become MAX Week – and we have a full menu of activities and events to celebrate the associate experience and take you through the MAX journey!"
MAX Week!,https://everconnect.foundever.com/everconnect/Article/Article/74969,max week 2020,"Wednesday, August 3, 2022",Kim H,"MAX Week is Sitel Group's worldwide celebration of our people! It's been a full year since we launched MAX in 2019. During these seven days, we'll take our associates through the MAX journey with fun and engaging activities and events. We will also recognize the achievements of our MAX Insiders community, our MAXperts and sponsors as they help shape the future of the Sitel Group associate experience."
Sitel Perks: Reward yourself on Labor Day by shopping at Stork.ph,https://everconnect.foundever.com/everconnect/Article/Article/131552,,"Tuesday, May 4, 2021",Rafael C,"Exclusive discounts on our Labor Month Sale! April 29 to May 31,2021."
Coming Soon - MAXConnect 2.0,https://everconnect.foundever.com/everconnect/Article/Article/88071,The Next Generation of MAXConnect,"Tuesday, July 5, 2022",Kim H,May the 4th be with you!
Celebrating International Day of Education,https://everconnect.foundever.com/everconnect/Article/Article/88057,Célébrons la journée internationale de l'éducation,"Wednesday, August 3, 2022",Kim H,"International Day of Education is dedicated to the human right of education, celebrated on January 24. Our celebration of the International Day of Education encourages the development of people and lifelong learning we promote throughout our organization."
Earth Day 2021,https://everconnect.foundever.com/everconnect/Article/Article/88130,Partagez vos histoires et du contenu à l'occasion de la Journée de la Terre 2021!,"Wednesday, July 13, 2022",Kim H,"Earth Day is celebrated globally on April 22 and marks the anniversary of the birth of the modern environmental movement in 1970. The global theme for Earth Day 2021 is Restore the Earth, to help bring hope that all people can come together to heal the planet."
Global Book Drive 2021,https://everconnect.foundever.com/everconnect/Article/Article/88172,"""Global Book Drive"" - don de livre","Wednesday, August 3, 2022",Kim H,"Join Sitel Group® in celebrating and supporting the International Day of Education by donating a book! For our global book drive, our CSR teams around the world are working together to support students and schools in the communities in which we live and work as we begin a new year."
Global Role - HIRING EXPERIENCE LEAD,https://everconnect.foundever.com/everconnect/Article/Article/88186,Sitel is looking for a Global Hiring Experience Lead !,"Friday, August 5, 2022",Kim H,null
International Day of Education: Empower Center Webinar,https://everconnect.foundever.com/everconnect/Article/Article/88216,International Day of Education: Empower Center Webinar,"Wednesday, August 3, 2022",Kim H,null
International Women's Day 2021,https://everconnect.foundever.com/everconnect/Article/Article/88230,Sitel célèbre la Journée Internationale de la Femme 2021,"Tuesday, July 19, 2022",Kim H,"Each year, International Women's Day is March 8. International Women's Day is a global celebration of women’s social, economic, cultural and political achievements. This day also marks a call to action for accelerating gender equality around the world."
MAXConnect 2.0 is Here!,https://everconnect.foundever.com/everconnect/Article/Article/90889,We are proud to present to you our new associate's communication platform.,"Tuesday, July 5, 2022",Kim H,"Just like the first version, MAXConnect 2.0 is accessible via maxconnect.sitel.com through desktop or mobile, work or personal device, on or off the Sitel Group network. No matter where you access the tool, the web address is always the same: maxconnect.sitel.com."
"Step Forward, Give back Challenge",https://everconnect.foundever.com/everconnect/Article/Article/92099,"Step Forward, Give back Challenge","Wednesday, August 3, 2022",Kim H,-SitelFit Team
[Global] SitelFit: One Small Change,https://everconnect.foundever.com/everconnect/Article/Article/92086,"MANTENERSE FELIZ, SANO Y SITEL FIT!","Wednesday, August 10, 2022",Kim H,"Tanto si estás en casa o trabajando desde un site, todavía puedes mantenerte e forma y participar en #SitelFit para contribuir a nuestro desafío global 2020 #OneSmallChange. Es fácil: ¡conecta tu aplicación de seguimiento de actividades y gana puntos por caminar, correr, montar en bicicleta, nadar y más! ¡Trabajemos junt@s para lograr 10.000.000 puntos para finales de 2020!.

Visita sitelfit.com para obtener más información. Descarga la aplicación United Heroes de la App Store o de Google Play para empezar. Código de empresa: SITEL"
FIN - Accounting - Accounting Manager,https://everconnect.foundever.com/everconnect/Article/Article/92224,The Accounting Manager and SSC team Lead sets up the accounting shared services center and...,"Wednesday, August 10, 2022",Kim H,Education
FIN - Finance General - Chief Financial Officer (CFO),https://everconnect.foundever.com/everconnect/Article/Article/92237,"A CFO is the strategic business partner of the CEO, being both supportive and alert.","Wednesday, August 10, 2022",Kim H,The CFO position requires both strong technical skills and soft skills in order to be legitimate and impactful.
PMO - Project Manager,https://everconnect.foundever.com/everconnect/Article/Article/92342,"The Project Manager is responsible for leading a project from initiation to handover, thi...","Wednesday, August 10, 2022",Kim H,Vendors:
SitelFit Wellness Survey,https://everconnect.foundever.com/everconnect/Article/Article/92396,Participez à l'enquête SitelFit,"Friday, August 5, 2022",Kim H,"In honor of World Health Day on April 7, take a few minutes to participate in our anonymous survey open to all 100,000 associates."
SitelFit Roadmap in March,https://everconnect.foundever.com/everconnect/Article/Article/92424,Feuille de route SitelFit en mars,"Wednesday, August 10, 2022",Kim H,"To help you plan your local wellness calendars even better, we have prepared two special newsletters with all the new content appearing in the United Heroes app in March."
SitelFit Sign-On Changes,https://everconnect.foundever.com/everconnect/Article/Article/92410,Modifications de l'authentification SitelFit,"Wednesday, August 10, 2022",Kim H,"If you signed up for SitelFit before June 2020, this does not affect you."
SitelFit Plogging Challenge,https://everconnect.foundever.com/everconnect/Article/Article/92442,Défi SitelFit Plogging,"Wednesday, August 10, 2022",Kim H,"This SitelFit Plogging Challenge consists of exercising while helping clean up litter in your community. You can walk, you can jog, you can bring your dog, you can go as a group - whatever you choose!"
New Sitel Fit Features,https://everconnect.foundever.com/everconnect/Article/Article/92472,New Sitel Fit Features,"Wednesday, August 10, 2022",Kim H,null
Breast Cancer Awareness Month 2020,https://everconnect.foundever.com/everconnect/Article/Article/92486,Breast Cancer Awareness Month 2020,"Wednesday, August 10, 2022",Kim H,"While we achieved our 2020 #OneSmallChange goal of 10 million points, we encourage you to stay active and keep moving (as always!); however, this month we want to shift our focus to education and spreading awareness to ensure our associates learn more about breast cancer prevention."
2021 #OneSmallChange,https://everconnect.foundever.com/everconnect/Article/Article/92500,Gardons la forme avec #OneSmallChange,"Monday, July 4, 2022",Kim H,SitelFit is about more than staying active - it’s about health and overall well-being - and encouraging our people to make healthier choices for a happier body and mind.
2020 Year-End Show,https://everconnect.foundever.com/everconnect/Article/Article/92514,édition spéciale fin d'année !,"Friday, August 12, 2022",Kim H,
Cybersecurity,https://everconnect.foundever.com/everconnect/Article/Article/93412,You are our greatest guard against fraud.,"Tuesday, July 12, 2022",Rebecca S,When Reporting Incidents:
Our Employee Promise,https://everconnect.foundever.com/everconnect/Article/Article/73498,"Learn, Lead & Grow.","Thursday, June 2, 2022",Rebecca S,null
Our Mission,https://everconnect.foundever.com/everconnect/Article/Article/128289,We believe every organization can build stronger brand engagement and drive long-term busi...,"Thursday, June 2, 2022",Kim H,We believe every organization can build stronger brand engagement and drive long-term business growth by unlocking the power of customer experience (CX). Our mission is to empower brands to build stronger relationships with their customers by creating meaningful connections that boost brand value.
CXPerts Challenge Winners Q1 2021: Charlene Buhayang and Romano Robregado,https://everconnect.foundever.com/everconnect/Article/Article/132276,A CXpert is a title given by Sitel to recognize its best customer service representatives ...,"Tuesday, May 4, 2021",Rafael C,Coach: Venice Manzano
Run for Women Leaderboard as of May 2,https://everconnect.foundever.com/everconnect/Article/Article/164555,"To close off the celebration of the International Women's Month, the first distance challe...","Tuesday, May 4, 2021",Ailena Marie M,"To close off the celebration of the International Women’s Month, the first distance challenge is Run for Women. The participants’ progress will be tracked through the United Heroes app."
05.04 Tarlac HR Generalist,https://everconnect.foundever.com/everconnect/Article/Article/166779,Serves as the functional leader for one or more key HR responsibilities including recruitm...,"Tuesday, May 4, 2021",Rafael C,Position: HR Generalist
Sitel MAX PH Dashboard May 2021,https://everconnect.foundever.com/everconnect/Article/Article/187456,Know each PH sites' MAX numbers,"Wednesday, May 5, 2021",Rafael C,null
SitelFit - May Challenges,https://everconnect.foundever.com/everconnect/Article/Article/186666,Learn more about our SitelFit May challenges!,"Wednesday, August 10, 2022",Rebecca S,Learn how to sign up for SitelFit here and see more articles at SitelFit.com.
SitelFit Leaderboard May 2021,https://everconnect.foundever.com/everconnect/Article/Article/187565,PH Sites' member number and app points,"Wednesday, May 5, 2021",Rafael C,null
"WELead Launch and Virtual Panel - May 11, 2021",https://everconnect.foundever.com/everconnect/Article/Article/198694,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Tuesday, May 11, 2021",Rafael C,Live via Microsoft Teams & Workplace:
Apply for a Unionbank Lazada Credit Card,https://everconnect.foundever.com/everconnect/Article/Article/198780,"Get Php5,000 Lazada Credits on your newly approved card!","Tuesday, May 11, 2021",Rafael C,null
Kabarkada Community Pantry,https://everconnect.foundever.com/everconnect/Article/Article/198848,Let's ease the hunger of people in our community. Donate food and other items to our commu...,"Tuesday, May 11, 2021",Rafael C,null
EC Bites and ECer Bites May 2021,https://everconnect.foundever.com/everconnect/Article/Article/198948,Curated courses for workplace intelligence,"Monday, May 10, 2021",Rafael C,7 surprising ways to lead change: https://bit.ly/ECBitesMay21
MAX Recognition Night Q1,https://everconnect.foundever.com/everconnect/Article/Article/199442,It's our Q1 MAX Recognition Night in Paradise,"Tuesday, May 11, 2021",Rafael C,MAX PH!
New Proprietary Research from Sitel Group,https://everconnect.foundever.com/everconnect/Article/Article/199755,Download our whitepaper and learn more about what drives customer loyalty.,"Tuesday, June 8, 2021",Rebecca S,News Coverage:
Organizational Announcement - Data & Analytics Program Lead & Transformation Small Tent,https://everconnect.foundever.com/everconnect/Article/Article/236805,Welcome Raghu Balasubramanian as Data & Analytics Program Lead,"Wednesday, May 12, 2021",Rebecca S,"Please join me in welcoming Raghu Balasubramanian to our group as Data & Analytics Program Lead and as the next member of the Transformation Small Tent. As we announced earlier, this group is helping to drive the transformation throughout the business and across geographies. These leaders support us in making the employee experience a seamless, consistent and positive journey from hiring and beyond."
SitelFit Video Tutorials,https://everconnect.foundever.com/everconnect/Article/Article/239906,Be your best at using the United Heroes app by SitelFit!,"Tuesday, May 25, 2021",Dimiter P,Are you practicing sport activities that are not trackable? You can easily log them manually by creating an activity in United Heroes. You can log up to 2 hours (120 minutes) per day. See how:
New Sitel Group® Brand Story,https://everconnect.foundever.com/everconnect/Article/Article/237313,Check out our new brand messaging.,"Tuesday, May 18, 2021",Rebecca S,"With this launch, we have new assets including:"
05.14 Baguio Tarlac Palawan  Learning Manager,https://everconnect.foundever.com/everconnect/Article/Article/244372,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Friday, May 14, 2021",Rafael C,Position:  Learning Manager
05.14 Technopoint Senior Network Engineer,https://everconnect.foundever.com/everconnect/Article/Article/244471,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Friday, May 14, 2021",Rafael C,Position: Senior Network Engineer
SitelFit Checklist - May 2021,https://everconnect.foundever.com/everconnect/Article/Article/244653,This month's inspirations for making #OneSmallChange towards well-being,"Tuesday, May 25, 2021",Dimiter P,
WeLead Philippines: New program to create an empowering workplace for women,https://everconnect.foundever.com/everconnect/Article/Article/245571,"Called Women's Empowerment and Leadership (WeLead), the program aims to ""support, promote,...","Monday, May 17, 2021",Rafael C,"Sitel Philippines on Tuesday, May 11, launched a new program that aims to foster a culture where female associates can flourish."
Google Fit for United Heroes is Live,https://everconnect.foundever.com/everconnect/Article/Article/259203,Check out how you can use Google Fit with United Heroes,"Wednesday, June 2, 2021",Dimiter P,All a user has to do is to connect their tracking app to Google Fit and then connect Google Fit to United Heroes.
Associate Advisory:  Registration at StaySafe and other contact tracing guidelines,https://everconnect.foundever.com/everconnect/Article/Article/263754,Required usage of these government-mandated contact tracing apps will be effective on June...,"Wednesday, May 19, 2021",Ailena Marie M,"To:  All Sitel PH Associates
From: PH Leadership
Date:  May 19, 2021
Subject: Registration at StaySafe and other contact tracing guidelines"
05.19 Baguio Security and Compliance Officer,https://everconnect.foundever.com/everconnect/Article/Article/265457,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Wednesday, May 19, 2021",Rafael C,Position:  Security and Compliance Officer
Join Sitel Drag Quaranqueen Season 2!,https://everconnect.foundever.com/everconnect/Article/Article/271063,Join the BIGGEST season yet of our Sitel Drag Quaranqueen! Read full mechanics.,"Thursday, May 20, 2021",Ailena Marie M,Bolder. Prouder. Bigger.
"Kabarkada Community Pantry benefits residents, workers",https://everconnect.foundever.com/everconnect/Article/Article/264459,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Thursday, May 20, 2021",Rafael C,null
New talent development platform: Plum,https://everconnect.foundever.com/everconnect/Article/Article/309960,Discover your strengths and chart your career,"Friday, May 28, 2021",Rafael C,null
Saving Talent At Risk (STAR) is now in iCoach,https://everconnect.foundever.com/everconnect/Article/Article/309890,The training is now available at MyAcademy,"Friday, May 28, 2021",Rafael C,null
CXpert Challenge Survey now available!,https://everconnect.foundever.com/everconnect/Article/Article/325013,CXpert Challenge Survey now available!,"Monday, June 27, 2022",Maria M,null
Celebrating World No Tobacco Day (May 31) #CommitToQuit,https://everconnect.foundever.com/everconnect/Article/Article/286670,The celebration is dedicated to raising awareness on the harmful effects of tobacco use,"Sunday, May 30, 2021",Lillian N,The World Health Organization (WHO) created WNTD in 1987 to draw global attention to the tobacco epidemic and the preventable death and disease it causes.
Technopoint Reports Analyst,https://everconnect.foundever.com/everconnect/Article/Article/327319,Do you love working with statistics? Can you put them together in reports that help leader...,"Friday, May 28, 2021",Rafael C,Location: Technopoint
Technopoint Graphic Designer,https://everconnect.foundever.com/everconnect/Article/Article/341217,Are you the creative type? Can you put together text and images to convey Sitel's brand me...,"Monday, May 31, 2021",Rafael C,
Reminder to download and register with StaySafe and other required contact tracing apps,https://everconnect.foundever.com/everconnect/Article/Article/342249,"This is to remind everyone that effective June 1, 2021, 7 pm, all associates will be requi...","Monday, May 31, 2021",Ailena Marie M,"To:  All Sitel PH Associates
From: PH Leadership
Date:  May 31, 2021
Subject: Reminder to download and register with StaySafe and other required contact tracing apps"
SitelFit - June Program,https://everconnect.foundever.com/everconnect/Article/Article/339615,Learn more about our SitelFit program in June!,"Tuesday, June 8, 2021",Dimiter P,"Running, Cycling, Walking - yes, we have all these classic challenges every week. But there's more."
SitelFit Checklist - June,https://everconnect.foundever.com/everconnect/Article/Article/355438,June's inspirations for making #OneSmallChange towards well-being,"Tuesday, June 8, 2021",Dimiter P,The SitelFit Team
Carla Detoyato: You can't always win  -- but you can look at the bright side,https://everconnect.foundever.com/everconnect/Article/Article/346716,"""If you focus on the negative things, it will impact your job and your life outside work. ...","Tuesday, June 1, 2021",Rafael C,"Starting out is always the hardest. On her first month as Engagement Lead at Sitel Tarlac, Carla Keach Detoyato, coach and eight-year kabarkada, had to build her account’s rewards and recognitions program from scratch. This meant talking to people she didn't know and convincing them to join the Engagement Team. In this interview, Carla, who was recently hailed as the MAX Insider Maximum Engagement Overall Winner, recounts her experience leading the rewards and recognition program during that crucial first month, and shares other things – including a story about a barely-known Filipino hero who wore lipstick during battles."
Peak Awards - The Awards,https://everconnect.foundever.com/everconnect/Article/Article/380113,The Peak Awards recognize teams that consistently achieve their performance goals year-ove...,"Wednesday, August 10, 2022",Rebecca S,null
Toni Ros: Dressing up to express,https://everconnect.foundever.com/everconnect/Article/Article/358155,A LGBTQIA+ kabarkada shares why being able to wear gowns during special company occasions ...,"Friday, June 4, 2021",Rafael C,null
Ubuntu Stick: ISO Extraction and UEFI Bootable flash drive creation (GPT Partition),https://everconnect.foundever.com/everconnect/Article/Article/468584,Steps on how to perform reimage on Ubuntu stick.,"Tuesday, November 2, 2021",Earlson Ernesto E,"Note: ""BIOS must be set to boot to UEFI""."
Webinar: The Power of Walking,https://everconnect.foundever.com/everconnect/Article/Article/441957,Learn why walking is so important for our mental health,"Wednesday, June 16, 2021",Dimiter P,"On this occasion, the SitelFit team met with Jonathan Hoban, author and certified psychotherapist, whose approach is known as Walking Therapy. During the webinar Jonathan discussed the benefits of physical movement on mental health and gave advice on how we can keep up a routine of good habits for a better physical and emotional health."
SitelFit Reader (June 14-18),https://everconnect.foundever.com/everconnect/Article/Article/478772,Catch up on your wellness reading for the week,"Thursday, July 1, 2021",Dimiter P,You need to be logged in the United Heroes environment to read the articles.
Don't let this deal pass for Dad! 45% off on Samsung Galaxy Tab S6,https://everconnect.foundever.com/everconnect/Article/Article/480402,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ...","Thursday, June 17, 2021",Rafael C,"1.Send your Name, Site and Employee Number to Perks@sitel.com to get an invitation code."
Celebrate Father's Day with these irresistible deals from Sitel Perks partners,https://everconnect.foundever.com/everconnect/Article/Article/480173,"Promos last for a limited time. So, hurry!","Thursday, June 24, 2021",Rafael C,Samsung EPP is offering 45% off on Galaxy Tab S6 until June 30!
"Through art and baking, Sitel Baguio eases life for abuse survivors",https://everconnect.foundever.com/everconnect/Article/Article/472848,The artists and bakers among the Sitel Baguio recently had the opportunity to make life ea...,"Thursday, June 17, 2021",Rafael C,The Regional Haven for Women and Girls in Baguio City provides temporary shelter to female abuse survivors. Photo courtesy of Eugene Juan.
"Quaranqueen Semifinalists reveal stories behind drag names, Pride songs",https://everconnect.foundever.com/everconnect/Article/Article/475403,"The queens spill the tea on the art of drag, their drag names, and the songs that best cel...","Thursday, June 17, 2021",Rafael C,"If you haven’t picked your bet yet, get some help by getting to know them more in this Q and A, where they spill the tea on the art of drag, their drag names, and the songs that best celebrate the LGBTQIA+ community."
Father's Day Promo: Enjoy up to 24 % off on S21 Ultra and S21+ and 50% off on Buds and Watch Active 2,https://everconnect.foundever.com/everconnect/Article/Article/481220,Promo until June 20 only,"Thursday, June 17, 2021",Rafael C,null
"Baguio, Tarlac and Palawan Engagement Officer",https://everconnect.foundever.com/everconnect/Article/Article/483093,Are you the sociable type? Are you filled with ideas for activities that will keep associa...,"Friday, September 3, 2021",Rafael C,Position: Engagement Officer
OJV HRIS Admin,https://everconnect.foundever.com/everconnect/Article/Article/483701,Does working with volumes of data excite you? Can you keep your assigned site's HRIS syste...,"Thursday, June 17, 2021",Rafael C,Position:  HRIS Admin for North America
Conversation at HeART Barranquilla,https://everconnect.foundever.com/everconnect/Article/Article/428338,"For the latest in our Conversation at HeART initiative, Colombian urban art collective DMe...","Tuesday, August 2, 2022",Rebecca S,
IT Playbook - How to completely reinstall SRW/AWS,https://everconnect.foundever.com/everconnect/Article/Article/484284,How to completely reinstall SRW/AWS,"Monday, October 24, 2022",Isaac M,null
SitelFit Weekly Challenges (21-27 June),https://everconnect.foundever.com/everconnect/Article/Article/498944,Join the new SitelFit challenges this week for a healthier body and mind!,"Thursday, July 1, 2021",Dimiter P,
Join Our First-Ever Digital Pride Fest,https://everconnect.foundever.com/everconnect/Article/Article/414482,"Our first-ever Digital Pride Fest, a day to BE BOLD, BE PROUD.","Wednesday, July 13, 2022",Lillian N,Join our first-ever Digital Pride Fest.
OJV Sourcing Coordinator,https://everconnect.foundever.com/everconnect/Article/Article/501498,Can you help our recruitment team pick the right candidates for our available positions an...,"Monday, June 21, 2021",Rafael C,Position: Sourcing Coordinator
"Organizational Announcement: Departure of Geoff Domigpe, VP for Operations - Sitel Tarlac",https://everconnect.foundever.com/everconnect/Article/Article/504867,"It is with regret that we announce the departure of Geoffrey Domigpe, Vice President for O...","Monday, June 21, 2021",Ailena Marie M,"To:  All Associates in the Philippines
From: Ravi Iyengar, Chief Operating Officer - APAC
Date: June 21, 2021
Organizational Announcement: Departure of Geoff Domigpe, Vice President for Operations – Sitel Tarlac"
"2021 Step Forward, Give Back Challenge Coming Soon",https://everconnect.foundever.com/everconnect/Article/Article/507592,Only 8 days left to the start of our annual challenge for charity,"Thursday, July 1, 2021",Dimiter P,null
Tarlac Real Time Analyst,https://everconnect.foundever.com/everconnect/Article/Article/508736,Do you get excited when working with numbers? Do you love the idea of managing staffing le...,"Tuesday, June 22, 2021",Rafael C,Position: Real Time Analyst
Certificate of Employment,https://everconnect.foundever.com/everconnect/Article/Article/510314,Here's how to get a Certificate of Employment.,"Tuesday, July 6, 2021",Rafael C,
"Organizational Announcement:  Gusglean Lagon, Director of Operations",https://everconnect.foundever.com/everconnect/Article/Article/500554,We are pleased to announce the promotion of Gusglean Lagon to Director of Operations,"Tuesday, June 22, 2021",Rafael C,"To:  All Sitel PH Associates
From:  Ian Zafra, Vice President for Operations, Sitel Baguio
Date: June 18, 2021
Subject: Organizational Announcement – Gusglean Lagon, Director of Operations"
Associate Advisories,https://everconnect.foundever.com/everconnect/Article/Article/511091,,"Tuesday, June 22, 2021",Rafael C,Attachment: Payroll Technical Guidelines
COVID 19 Safety Protocols in the Workplace,https://everconnect.foundever.com/everconnect/Article/Article/511237,,"Tuesday, June 22, 2021",Rafael C,COVID-19 Safety Protocols in the Workplace
Associate Advisory 53 -  041221: NCR Plus placed under Modified Enhanced Community Quarantine from April 12 to 30,https://everconnect.foundever.com/everconnect/Article/Article/511223,,"Tuesday, June 22, 2021",Rafael C,"To:  All Associates in the Philippines
From:  PH Leadership Team
Date:  April 12, 2021 
COVID-19  Associate Advisory 53 -  041221: NCR Plus placed under Modified Enhanced Quarantine from April 12 to 30"
COVID-19  Associate Advisory 52 -  040421 :Extension of Enhanced Community Quarantine in NCR Plus until April 11,https://everconnect.foundever.com/everconnect/Article/Article/511253,,"Tuesday, June 22, 2021",Rafael C,"To:  All Associates in the Philippines
From:  PH Leadership Team
Date:  April 4, 2021 
COVID-19  Associate Advisory 52 -  040421 :Extension of Enhanced Community Quarantine in NCR Plus until April 11"
"“Learn, lead and grow”: The New Sitel Employee Value Proposition",https://everconnect.foundever.com/everconnect/Article/Article/511459,,"Tuesday, June 22, 2021",Rafael C,"The last five months have seen many changes happening on the way Sitel presents itself to the world, especially to one of our main publics, our job applicants. In June, we launched the Candidate Engagement Platform, powered by Harver, which automates the applicant screening process. On September, we rolled out our new brand message, “Create Connection. Value Conversation,” replacing the previous “Empower humans. Enhance brands.” Today, we are debuting another external marketing initiative, our new Employee Value Proposition (EVP)."
2021 New Year Greetings from Sitel Leaders,https://everconnect.foundever.com/everconnect/Article/Article/511492,,"Tuesday, June 22, 2021",Rafael C,"Happy New Year Sitel Kabakadas! A new season and journey is beginning for all of us. As Kabarkadas, we look ahead, we move forward, we ready the body and mind for what lies ahead, while hope floats in our hearts that each step is leading towards a better day. We are all in this together! This year, as Barkadas, we focus on being  MAX-masaya! MAX-mabilis! and MAX-magaling! Let’s do this!"
"2nd Round of Flu Shots Administration for NCR, Baguio and Tarlac",https://everconnect.foundever.com/everconnect/Article/Article/511536,,"Tuesday, June 22, 2021",Rafael C,"Baguio, NCR, and Tarlac will have another round seasonal flu shot administration. Please check schedule below:"
5 Things to Avoid to Attract Luck during the Chinese New Year,https://everconnect.foundever.com/everconnect/Article/Article/511549,,"Tuesday, June 22, 2021",Rafael C,
2021 New Year Message from the COO,https://everconnect.foundever.com/everconnect/Article/Article/511522,,"Tuesday, June 22, 2021",Rafael C,"Dear Sitel Barkada,"
